,AUN,school_district,county,total_state_rev,bef,formula_funding_2021,bef_soc_sec_2021,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,School Safety and Security Grants 7361,Other Safe Schools Grants 7369,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Ready to Learn Block Grant 7505,PAsmart Grants 7506,Supplemental Equipment Grants 7509,Continuity of Education and Equity Grants 7521,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,121395103,Parkland SD,Lehigh,"$37,267,221.86","$11,681,468.24","$8,565,105.32","$3,116,362.92",,"$305,725.24",,,,,,,,"$3,884,163.01",,,,,,"$1,202,158.29","$278,355.00","$1,640,811.30","$182,068.96","$1,787,167.15",,"$43,387.30","$15,619.97",,,"$531,722.00",,,,,,,,"$15,714,575.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,121395603,Salisbury Township SD,Lehigh,"$7,955,353.16","$3,118,969.29","$2,522,537.04","$596,432.25",,"$46,567.43",,,,,,,,"$1,089,713.05",,,,,,"$474,205.24","$93,555.00","$18,300.40","$44,437.00","$508,212.55",,,,,,"$103,127.00","$7,601.71",,,,$179.40,,,"$2,450,485.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,121395703,Southern Lehigh SD,Lehigh,"$14,962,482.96","$5,853,065.84","$4,752,373.64","$1,100,692.20",,"$37,104.54",,,,,"$9,800.00",,,"$1,362,399.64",,,,,,"$1,403,964.27","$142,065.00","$601,249.93","$63,171.17","$676,620.87",,,,,,"$147,449.00","-$3,367.28",,,,,,,"$4,668,959.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,121397803,Whitehall-Coplay SD,Lehigh,"$21,568,785.14","$9,895,038.30","$8,436,225.12","$1,458,813.18",,"$69,190.38",,,,,,$439.00,,"$2,207,543.41",,,,,,"$790,294.21","$159,005.00","$541,499.12","$88,308.20","$1,182,088.95",,"$15,968.36",,,,"$514,816.00","$24,732.14",,,,,,,"$6,079,862.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,118401403,Crestwood SD,Luzerne,"$15,202,245.54","$8,114,747.85","$7,406,647.48","$708,100.37",,"$28,089.51",,,,,,,,"$1,672,969.29",,,,,,"$1,367,226.94","$127,435.00",,"$53,718.03","$422,193.11",,,,,,"$348,001.00","$21,388.84",,,,"$7,501.94",,,"$3,038,974.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,118401603,Dallas SD,Luzerne,"$12,840,820.11","$6,785,146.69","$6,090,447.04","$694,699.65",,"$39,528.37",,,"$1,476.89",,,,,"$1,257,030.82",,,,,,"$688,104.50","$28,490.00","$397,784.25","$45,655.39","$325,050.49",,,,,,"$255,430.00","$10,285.28",,,,,,,"$3,006,837.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,118402603,Greater Nanticoke Area SD,Luzerne,"$19,755,907.62","$12,050,359.50","$11,329,065.11","$721,294.39",,"$35,011.37",,,,,,,,"$1,602,013.72",,,,"$166,250.00",,"$1,101,629.57","$20,020.00","$338,256.56","$41,031.89","$705,647.28",,,"$84,930.00",,,"$438,389.00",,,,,"$10,674.58",,,"$3,161,694.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,118403003,Hanover Area SD,Luzerne,"$16,364,050.29","$9,029,410.68","$8,317,210.03","$712,200.65",,"$81,870.13",,,,,,,,"$1,572,687.39",,,,"$504,280.96",,"$760,306.90","$41,965.00",,"$34,988.13","$889,593.41",,,"$66,433.00",,,"$366,048.00","$16,381.72",,,,,,,"$3,000,084.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,118403302,Hazleton Area SD,Luzerne,"$83,336,477.38","$42,984,770.45","$39,787,616.70","$3,197,153.75",,"$236,773.38",,,"$709,861.00",,,"$1,139.00",,"$5,275,140.05","$6,128,686.00",,,"$1,850,625.00",,"$2,309,781.88","$136,290.00","$2,930,770.45","$232,808.07","$2,702,231.79",,$124.50,,,,"$1,675,119.00",,"$62,768.65",,,"$1,000.00",,,"$16,098,588.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,118403903,Lake-Lehman SD,Luzerne,"$13,405,254.61","$7,446,465.46","$6,918,593.58","$527,871.88",,"$111,184.38",,,,,,,,"$1,219,275.33",,,,,,"$1,399,211.13","$57,365.00","$162,552.96","$25,915.53","$463,165.51",,,,,,"$278,523.00","-$1,314.12",,,,,,,"$2,242,910.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,118406003,Northwest Area SD,Luzerne,"$11,813,133.00","$7,540,322.00","$7,232,982.00","$307,340.00",,"$101,642.00",,,"$21,688.00",,,,,"$924,514.00",,,,"$145,833.00",,"$906,188.00","$16,555.00",,"$17,345.00","$487,586.00",,,,,"$245,593.00",,"$23,529.00",,,,,,,"$1,382,338.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,118406602,Pittston Area SD,Luzerne,"$20,710,204.58","$11,038,894.48","$10,126,820.86","$912,073.62",,"$19,346.32",,,,,,,,"$1,726,070.41",,,,,,"$1,669,243.10","$120,120.00","$848,846.52",,"$910,894.60",,"$40,000.00",,,,"$495,591.00",,,,,,,,"$3,841,198.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,118408852,Wilkes-Barre Area SD,Luzerne,"$53,632,251.15","$32,374,806.01","$30,362,214.06","$2,012,591.95",,"$36,951.07",,,,,,,,"$4,988,547.91",,,,,,"$1,111,935.98","$238,700.00","$48,191.87","$162,437.68","$2,887,145.36",,"$407,737.00",,,,"$1,157,796.00","$25,277.80",,,,,,,"$9,992,724.47",,,"$200,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,118409203,Wyoming Area SD,Luzerne,"$16,379,872.00","$8,799,930.18","$8,098,711.35","$701,218.83",,"$132,271.95",,,,,,,,"$1,630,036.99",,,,,,"$1,799,357.33","$63,140.00","$143,650.91","$40,394.48","$470,365.30",,,,,,"$357,527.00",-$340.28,,,,,,,"$2,943,538.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,118409302,Wyoming Valley West SD,Luzerne,"$38,129,197.25","$22,100,158.83","$20,388,289.35","$1,711,869.48",,"$151,606.70",,,,,,,,"$3,700,744.04",,,,,,"$887,106.50","$103,950.00","$335,835.90","$104,980.64","$1,566,375.02",,,,,,"$893,171.00","$8,947.16",,,,"$333,754.29",,"$53,884.45","$7,888,682.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,117412003,East Lycoming SD,Lycoming,"$14,648,734.51","$8,890,803.13","$8,390,254.18","$500,548.95",,"$65,638.69",,,,,,,,"$1,085,278.53",,,,"$324,350.81",,"$855,798.20","$2,310.00","$278,493.27","$30,008.29","$532,796.52",,"$58,982.00","$24,875.00",,,"$267,638.00",,,,,,,,"$2,231,762.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,117414003,Jersey Shore Area SD,Lycoming,"$23,416,660.97","$14,040,050.72","$13,269,479.19","$770,571.53",,"$92,981.88",,,"$125,190.00",,,,,"$1,852,322.85",,,,"$315,000.00",,"$1,142,401.62","$66,220.00","$623,480.35","$41,871.76","$1,143,755.22",,"$15,000.00","$2,611.66",,,"$489,271.00",,,,,,,,"$3,466,503.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,117414203,Loyalsock Township SD,Lycoming,"$7,484,676.89","$3,771,156.98","$3,379,113.94","$392,043.04",,"$27,746.04",,,,,,,,"$773,229.98",,,,,,"$148,531.68",,"$384,394.05","$27,705.63","$395,353.33",,"$114,773.55",,,,"$139,676.00",,,,,"$15,238.00",,,"$1,686,871.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,117415004,Montgomery Area SD,Lycoming,"$8,875,880.22","$5,610,820.36","$5,347,999.02","$262,821.34",,"$53,099.25",,,"$27,471.00",,,,,"$615,453.76",,,,"$437,500.00",,"$169,934.22","$33,880.00","$158,692.28","$16,402.42","$319,067.37",,"$105,389.33",,,,"$136,406.00",,,,,,,,"$1,191,764.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,117415103,Montoursville Area SD,Lycoming,"$13,442,936.00","$7,613,104.00","$7,156,411.00","$456,693.00",,"$51,807.00",,,,,,,,"$1,319,587.00",,,,,,"$479,927.00","$4,620.00","$765,812.00","$34,482.00","$512,732.00",,"$194,064.00",,,,"$264,755.00",,,,,"$1,125.00",,,"$2,200,921.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,117415303,Muncy SD,Lycoming,"$7,295,184.46","$4,320,231.75","$4,019,332.61","$300,899.14",,"$119,097.07",,,,,,,,"$678,247.33",,,,,,"$169,950.47","$1,540.00","$219,789.49","$17,931.58","$330,977.30",,"$8,562.11",,,,"$134,126.00",,,,,,,,"$1,294,731.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,117416103,South Williamsport Area SD,Lycoming,"$10,386,356.17","$6,531,914.02","$6,154,306.39","$377,607.63",,,,,,,,,,"$873,466.90",,,,,,"$182,141.06",$770.00,,"$19,808.00","$562,049.27",,"$221,919.00",,,,"$228,011.00",,,,,,,,"$1,766,276.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,117417202,Williamsport Area SD,Lycoming,"$48,796,355.00","$28,754,679.00","$26,873,348.00","$1,881,331.00",,"$186,200.00",,,"$596,198.00",,,,,"$4,655,573.00",,,,,,"$1,073,435.00","$6,545.00","$1,197,689.00","$93,118.00","$2,439,013.00",,"$130,757.00",,,,"$989,521.00",,"$52,676.00",,,"$1,230.00",,,"$8,619,721.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,109420803,Bradford Area SD,McKean,"$25,773,990.91","$14,564,622.04","$13,587,377.10","$977,244.94",,"$141,468.34",,,"$270,902.00",,$245.00,,,"$2,234,715.80",,,,"$715,575.00",,"$947,886.26","$7,700.00",,"$46,747.73","$1,522,462.57",,"$412,229.15",,,,"$501,516.00","$9,722.20",,,,,,,"$4,398,198.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,109422303,Kane Area SD,McKean,"$12,943,965.52","$8,887,356.45","$8,475,446.07","$411,910.38",,"$20,564.80",,,,,"$1,155.00",,,"$896,526.58",,,,,,"$371,236.76",,"$299,828.33","$18,942.36","$339,728.08",,,,,,"$246,106.00",,,,,,,,"$1,862,521.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,109426003,Otto-Eldred SD,McKean,"$8,676,062.28","$5,994,771.90","$5,721,210.22","$273,561.68",,"$20,934.06",,,,,,,,"$614,467.79",,,,,,"$367,454.54",,"$133,605.55","$10,247.27","$189,429.05",,"$30,000.00",-$240.00,,,"$163,416.00","$6,177.00",,,,,,,"$1,145,799.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,109426303,Port Allegany SD,McKean,"$11,444,901.53","$7,723,941.57","$7,415,412.57","$308,529.00",,$691.56,,,,,,,,"$767,759.87",,,,,,"$450,091.62","$10,780.00","$462,870.36","$16,874.00","$325,500.11",,"$30,000.00",,,,"$212,104.00","$4,787.79",,,,,,$0.01,"$1,439,500.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,109427503,Smethport Area SD,McKean,"$10,524,303.90","$6,949,407.14","$6,626,689.60","$322,717.54",,"$37,751.19",,,,,$210.00,,,"$705,196.75",,,,,,"$403,757.24","$3,850.00","$321,512.25","$14,804.79","$316,037.67",,"$103,170.39",,,,"$185,322.00",,,,,,,,"$1,483,284.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104431304,Commodore Perry SD,Mercer,"$6,146,263.00","$4,040,793.00","$3,875,306.00","$165,487.00",,"$59,696.00",,,,,,,,"$416,544.00",,,,,,"$409,873.00",,"$1,779.00","$8,658.00","$180,368.00",,,,,"$100,565.00",,,,,,"$31,642.00",,,"$896,345.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104432503,Farrell Area SD,Mercer,"$13,586,993.00","$8,254,830.00","$7,806,502.00","$448,328.00",,"$20,776.00",,,,,,,,"$908,641.00",,,,,,"$119,278.00",,"$592,394.00","$24,174.00","$265,940.00",,"$30,000.00",,,,"$217,908.00","$25,278.00",,"$41,550.00",,"$154,409.00",,,"$2,931,815.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104432803,Greenville Area SD,Mercer,"$13,027,231.48","$7,581,545.30","$7,110,164.20","$471,381.10",,"$159,935.69",,,,,"$1,015.00",,,"$1,065,491.52",,,,,,"$424,094.35","$25,025.00","$550,511.30","$24,751.80","$537,774.50",,"$233,162.48",,,,"$264,567.00",,,,,,,,"$2,159,357.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104432903,Grove City Area SD,Mercer,"$16,475,505.23","$9,149,720.11","$8,419,559.29","$730,160.82",,"$424,752.72",,,"$87,727.00",,"$2,555.00",,,"$1,509,844.06",,,,,,"$642,324.57","$26,565.00","$331,010.04","$40,243.70","$502,184.92",,"$28,644.75",,,,"$340,539.00",,,,,,,,"$3,389,394.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104433303,Hermitage SD,Mercer,"$12,338,507.49","$6,793,530.69","$6,211,194.66","$582,336.03",,,,,,,,,,"$1,238,180.42",,,,,,"$517,127.14","$9,625.00","$334,560.47","$43,050.62","$461,409.82",,"$18,241.35",,,,"$267,203.00",,,,,"$45,460.00",,,"$2,610,118.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104433604,Jamestown Area SD,Mercer,"$5,374,023.00","$3,284,169.00","$3,120,967.00","$163,202.00",,"$12,179.00",,,,,,,,"$437,139.00",,,,,,"$267,098.00","$18,095.00","$160,573.00",,"$276,517.00",,"$26,482.00",,,,"$95,731.00",,,,,,,,"$796,040.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104433903,Lakeview SD,Mercer,"$11,354,276.65","$7,191,793.72","$6,762,486.53","$429,307.19","$23,360.00",,,,,,,,,"$785,108.21",,,,,,"$820,995.41","$45,815.00","$405,166.80","$20,413.40","$363,897.39",,"$30,000.00",,,,"$221,294.00",,,"$162,382.00",,"$9,154.32",,"-$82,794.60","$1,357,691.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104435003,Mercer Area SD,Mercer,"$9,726,845.98","$5,727,637.56","$5,512,444.35","$215,193.21",,"$42,298.11",,,,,$315.00,,,"$909,573.99",,,,,,"$504,548.84","$12,320.00","$388,896.96","$18,519.59","$405,850.57",,"$30,000.00","$10,800.00",,,"$214,632.00","$25,277.80",,,,,,"$100,875.03","$1,335,300.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104435303,Reynolds SD,Mercer,"$13,106,003.23","$8,451,056.51","$8,027,745.14","$423,311.37",,"$76,016.17",,,,,,,,"$1,041,954.05",,,,,,"$781,229.31","$55,440.00","$30,787.01","$19,540.43","$493,750.05",,"$30,000.00",,,,"$238,412.00",,,,,,,,"$1,887,817.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104435603,Sharon City SD,Mercer,"$23,921,578.87","$16,212,768.30","$15,444,730.77","$768,037.53",,,,,,,,,,"$1,868,355.16",,,,,,"$399,817.15",,,"$34,576.94","$753,796.84",,,,,,"$493,812.00",,,,,"$274,266.51",,"$1,052.38","$3,883,133.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104435703,Sharpsville Area SD,Mercer,"$11,219,900.36","$6,853,306.21","$6,456,173.41","$397,132.80",,"$19,964.85",,,,,,,,"$798,906.02",,,,,,"$352,383.52","$19,635.00","$442,453.65","$21,386.43","$450,395.30",,"$222,461.00",,,,"$239,259.00",,,,,"$12,532.50",,,"$1,787,216.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,104437503,West Middlesex Area SD,Mercer,"$9,685,891.75","$5,810,152.93","$5,501,072.87","$309,080.06",,,,,,,,,,"$721,504.90",,,,,,"$568,866.93","$62,370.00","$301,108.83","$14,726.19","$400,741.42",,"$82,478.61","$16,904.16",,,"$185,880.00",,,,,"$33,174.38",,,"$1,487,983.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,111444602,Mifflin County SD,Mifflin,"$40,925,978.86","$22,932,463.42","$21,567,750.16","$1,364,713.26",,"$103,683.65",,,,,,,,"$3,574,435.49",,,,,,"$3,767,530.65","$169,400.00","$942,560.25","$97,977.60","$1,921,154.83",,"$233,618.31",,,,"$968,914.00",,,,,,,,"$6,214,240.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120452003,East Stroudsburg Area SD,Monroe,"$50,801,723.04","$19,980,995.89","$16,802,164.74","$3,178,831.15",,"$833,231.54",,,,,,,,"$4,657,441.57",,,,,,"$3,433,146.80","$114,345.00","$1,154,226.81","$146,748.77","$4,345,792.96",,"$375,003.74",,,,"$1,248,758.00",,,,,,,,"$14,512,031.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120455203,Pleasant Valley SD,Monroe,"$44,968,821.63","$24,461,763.51","$22,657,576.64","$1,804,186.87",,"$426,275.81",,,,,,,,"$3,719,913.34",,,,,,"$2,688,249.21","$31,185.00",,"$79,534.22","$4,070,810.89",,"$45,000.00",,,,"$1,021,256.00",,,,,,,,"$8,424,833.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120455403,Pocono Mountain SD,Monroe,"$66,193,904.17","$31,890,625.11","$28,305,036.42","$3,585,588.69",,"$939,846.20",,,,,,,,"$6,220,844.96",,,,,,"$1,707,860.51","$106,645.00","$1,144,298.17","$176,605.09","$6,201,330.90",,"$170,530.25",,,,"$1,534,068.00",,,,,,,,"$16,101,249.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120456003,Stroudsburg Area SD,Monroe,"$36,411,701.25","$16,908,495.80","$14,828,393.12","$2,080,102.68",,"$211,722.99",,,,,,,,"$3,077,621.83",,,,,,"$1,236,401.97","$70,840.00","$1,314,207.06","$91,839.84","$2,663,688.46",,"$262,243.00","$45,000.00",,,"$776,707.00",,,,,,,,"$9,752,933.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123460302,Abington SD,Montgomery,"$39,181,781.32","$10,761,881.53","$7,231,833.10","$3,530,048.43",,"$136,991.77",,,,,,,,"$3,612,310.01",,,,,,"$820,636.92","$443,520.00","$1,154,119.63","$373,665.33","$5,406,828.56",,"$195,377.23","$59,877.42",,,"$401,756.00","$35,000.00",,,,,,,"$15,779,816.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123460504,Bryn Athyn SD,Montgomery,"$57,899.00","$34,377.00","$34,377.00",,,,,,,,,,,"$6,130.00",,,,,,,,,,"$17,392.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123461302,Cheltenham SD,Montgomery,"$24,778,833.78","$7,109,155.57","$5,160,699.73","$1,948,455.84",,"$692,894.97",,,,,,,,"$2,776,997.87",,,,,,"$992,951.02","$234,850.00","$586,535.91","$2,311.33","$3,509,421.31",,,,,,"$340,388.00","$1,944.44",,,,,,,"$8,531,383.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123461602,Colonial SD,Montgomery,"$22,705,319.62","$5,663,579.40","$3,369,503.35","$2,294,076.05",,"$219,227.19",,,,,,,,"$2,424,418.61",,,,,,"$481,788.60","$284,130.00","$114,554.52","$121,170.37","$3,224,730.70",,"$105,137.00",,,,"$169,916.00",,,,,,,,"$9,896,667.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123463603,Hatboro-Horsham SD,Montgomery,"$21,472,729.39","$6,976,124.61","$5,192,250.77","$1,783,873.84",,"$52,980.82",,,,,,,,"$2,483,843.64",,,,,,"$311,779.10","$208,670.00","$109,654.35","$87,851.42","$2,437,308.27",,"$76,680.00","$74,999.80",,,"$270,230.00",-$57.62,,,,"$25,500.00",,,"$8,357,165.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123463803,Jenkintown SD,Montgomery,"$3,657,273.68","$1,216,462.00","$930,831.00","$285,631.00",,,"$52,488.00",,,,,,,"$291,457.68",,,,,,"$4,210.00",,,"$13,303.00","$588,456.00",,"$145,769.00",,,,"$23,471.00",,,,,,,,"$1,321,657.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123464502,Lower Merion SD,Montgomery,"$41,171,787.56","$9,072,579.90","$4,176,664.58","$4,895,915.32",,"$133,219.27",,,,,,,,"$3,200,126.86",,,,,,"$1,397,461.01","$413,875.00","$279,772.81","$249,576.87","$3,474,000.22",,,,,,"$240,611.00",,,,,,,,"$22,710,564.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123464603,Lower Moreland Township SD,Montgomery,"$10,045,500.39","$3,189,042.66","$2,312,478.98","$876,563.68",,,,,,,,,,"$757,590.46",,,,,,"$353,743.87","$78,540.00","$203,289.86","$53,766.82","$1,524,943.48",,"$40,000.00",,,,"$75,809.00","$25,277.80",,,,,,,"$3,743,496.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123465303,Methacton SD,Montgomery,"$23,789,982.19","$8,576,292.85","$6,986,861.80","$1,589,431.05",,"$97,642.64",,,,,,,,"$2,619,149.35",,,,,,"$1,471,304.55","$287,595.00","$627,668.48","$86,154.82","$2,121,064.46",,,,,,"$252,829.00",,,,,,,,"$7,650,281.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123465602,Norristown Area SD,Montgomery,"$40,119,793.69","$15,907,281.60","$13,662,572.71","$2,244,708.89",,"$336,361.46",,,,,,$480.00,,"$5,135,644.04",,,,,,"$1,639,399.64","$600,215.00","$726,727.69","$155,906.75","$2,838,170.23",,"$645,759.64","$15,116.28",,,"$787,066.00",,,,,,,,"$11,331,665.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123465702,North Penn SD,Montgomery,"$54,362,596.59","$16,095,367.62","$11,055,306.98","$5,040,060.64",,"$157,733.90",,,,,,$160.00,,"$6,787,924.12",,,,,,"$1,593,514.54","$616,770.00","$689,333.46","$280,451.42","$5,206,405.72",,"$42,072.04",,,,"$577,539.00",,,,,"$171,851.20",,,"$22,143,473.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123466103,Perkiomen Valley SD,Montgomery,"$23,487,466.09","$8,509,672.46","$6,664,783.36","$1,844,889.10",,,,,,,,,,"$2,599,759.09",,,,,,"$930,276.02","$192,115.00","$303,647.69","$116,485.97","$2,059,405.84",,"$45,000.00","$163,187.00",,,"$506,099.00","$25,277.80",,,,,,,"$8,036,540.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123466303,Pottsgrove SD,Montgomery,"$20,632,529.00","$9,708,733.00","$8,523,510.00","$1,185,223.00",,"$214,906.00",,,,,,,,"$2,084,851.00",,,,,,"$712,008.00","$77,385.00","$417,704.00","$67,825.00","$1,540,291.00",,"$40,000.00",,,,"$422,968.00",,,,,,,,"$5,345,858.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123466403,Pottstown SD,Montgomery,"$30,054,482.30","$13,258,766.73","$12,144,111.52","$1,114,655.21",,"$5,063.09",,,"$475,439.42",,,,,"$2,437,564.08",,,,"$2,467,500.00",,"$380,285.32","$10,780.00","$1,180,188.29","$62,315.86","$1,623,904.22",,"$215,507.85","$40,000.00",,,"$559,007.00","-$5,995.00","$51,202.75",,,"$1,501,368.68",,,"$5,791,584.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123467103,Souderton Area SD,Montgomery,"$31,288,738.48","$11,810,348.14","$9,808,481.80","$2,001,866.34",,"$157,307.18",,,,,,,,"$3,426,717.43",,,,,,"$1,753,226.67","$338,800.00","$807,384.21","$245,088.43","$2,257,008.94",,"$265,437.00","$9,087.00",,,"$524,477.00",,,,,,,,"$9,693,856.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
