,AUN,school_district,county,total_state_rev,bef,formula_funding_1920,bef_soc_sec_1920,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,School Safety and Security Grants 7361,Other Safe Schools Grants 7369,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Ready to Learn Block Grant 7505,PAsmart Grants 7506,Supplemental Equipment Grants 7509,Continuity of Education and Equity Grants 7521,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1,124157203,Phoenixville Area SD,Chester,"$16,760,152.00","$6,266,849.00","$5,117,699.00","$1,149,150.00",,"$40,413.00",,,,,,,,"$1,777,397.00",,,,,,"$527,407.00","$449,295.00","$31,451.00",,"$1,381,316.00",,"$567,906.00",,,,"$127,795.00","$9,722.00",,,,,,,"$5,580,601.00",,,
1,124157802,Tredyffrin-Easttown SD,Chester,"$22,532,020.71","$3,759,895.64","$3,759,895.64",,,"$28,418.44",,,,,,,,"$2,478,961.61",,,,,,"$1,072,128.98","$414,645.00","$79,169.26","$153,123.50","$2,099,793.02",,"$45,000.00",,,,"$199,614.00",,,,,,,"$1,979,774.48","$10,221,496.78",,,
1,124158503,Unionville-Chadds Ford SD,Chester,"$16,190,113.56","$4,753,171.81","$3,368,201.35","$1,384,970.46",,"$28,260.91",,,,,,,,"$1,841,595.45",,,,,,"$457,148.81","$105,105.00","$288,212.05","$78,079.48","$1,488,557.33",,,,,,"$127,325.00",,,,,$250.00,,,"$7,022,407.72",,,
1,124159002,West Chester Area SD,Chester,"$44,089,036.09","$8,810,210.77","$8,810,210.77",,,"$173,733.14",,,,,,$30.00,,"$6,125,164.71",,,,,,"$2,110,093.69","$1,149,995.00","$1,121,093.89","$252,545.48","$3,598,252.82",,,,,,"$399,095.00",,,,,"$248,253.80",,"$3,497,635.87","$16,602,931.92",,,
1,106160303,Allegheny-Clarion Valley SD,Clarion,"$9,636,645.77","$6,179,135.99","$5,941,857.84","$237,278.15",,"$41,881.04",,,,,,,,"$687,345.35",,,,,,"$903,580.91","$16,940.00",,"$11,554.40","$279,836.44",,"$30,000.00","$18,817.50",,,"$151,489.00","$22,647.08",,,,"$129,685.75",,,"$1,163,732.31",,,
1,106161203,Clarion Area SD,Clarion,"$7,445,824.07","$3,343,256.01","$3,129,316.40","$213,939.61",,"$9,617.16",,,,,,,,"$524,282.09",,,,,"$1,500,000.00","$347,642.53","$4,235.00","$370,449.30","$16,199.50","$209,943.24",,"$40,854.72",,,,"$99,414.00",,,,,,,,"$979,930.52",,,
1,106161703,Clarion-Limestone Area SD,Clarion,"$9,045,613.13","$5,532,995.92","$5,264,758.23","$268,237.69",,"$2,762.39",,,"$53,896.49",,,,,"$688,701.05",,,,,,"$687,438.94","$5,390.00","$156,139.18","$16,072.95","$330,403.83",,,,,,"$158,575.00","$58,000.00","$7,218.20",,,,,,"$1,348,019.18",,,
1,106166503,Keystone SD,Clarion,"$11,162,268.85","$7,462,921.37","$7,126,983.03","$335,938.34",,"$16,644.85",,,,,,,,"$798,448.34",,,,,,"$776,498.29","$34,650.00",,"$16,999.89","$279,553.92",,"$30,000.00",,,,"$194,891.00","$22,640.95",,,,,,,"$1,529,020.24",,,
1,106167504,North Clarion County SD,Clarion,"$5,773,997.10","$3,602,291.44","$3,497,953.14","$104,338.30",,,,,,,,,,"$376,583.44",,,,"$245,000.00",,"$398,547.48","$5,390.00","$26,304.86","$11,548.64","$135,690.99",,,,,,"$91,295.00","$18,525.20",,,,"$48,578.00",,"$46,120.35","$768,121.70",,,
1,106168003,Redbank Valley SD,Clarion,"$13,042,296.43","$9,104,519.84","$8,740,045.92","$364,473.92",,"$29,986.06",,,,,,,,"$922,438.73",,,,,,"$1,028,150.80","$5,775.00",,"$20,684.35","$250,292.56",,,,,,"$229,939.00","$22,845.84",,,,,,,"$1,427,664.25",,,
1,106169003,Union SD,Clarion,"$8,649,510.79","$5,910,330.88","$5,787,299.63","$123,031.25",,"$3,969.51",,,,,,,,"$609,452.78",,,,,,"$462,487.73","$6,160.00",,"$10,181.14","$140,825.37",,"$29,999.52",,,,"$157,782.00",,,,,,,"$69,945.17","$1,248,376.69",,,
1,110171003,Clearfield Area SD,Clearfield,"$22,379,357.62","$13,509,213.94","$12,867,071.87","$642,142.07",,"$138,739.82",,,,,,,,"$1,842,512.07",,,,,,"$1,528,331.48","$10,395.00","$588,545.44","$42,878.62","$861,331.99",,"$185,275.00",,,,"$471,734.00",,,,,,,,"$3,200,400.26",,,
1,110171803,Curwensville Area SD,Clearfield,"$12,655,691.05","$7,715,571.82","$7,715,571.82",,,"$223,466.73",,,,,,,,"$794,887.09",,,,,,"$646,627.28","$11,550.00","$579,622.38","$18,611.10","$352,093.40",,"$19,412.00","$60,000.00",,,"$224,051.00","$2,058.82",,,,,,"$357,596.58","$1,650,142.85",,,
1,106172003,DuBois Area SD,Clearfield,"$30,772,084.61","$17,229,956.37","$16,194,888.92","$1,035,067.45",,"$123,574.14",,,,,,,,"$3,123,752.75",,,,,,"$2,130,031.45","$125,895.00","$529,243.19",,"$1,938,948.31",,"$39,987.20","$24,798.00",,,"$700,394.00","$26,764.72",,,,"$22,999.47",,"-$37,493.21","$4,793,233.22",,,
1,110173003,Glendale SD,Clearfield,"$9,083,276.35","$6,050,408.77","$5,771,438.36","$278,970.41",,,,,,,$875.00,,,"$615,360.22",,,,,,"$560,776.18",,,"$14,457.71","$311,713.46",,,,,,"$175,503.00",,,,,"$37,987.00",,,"$1,316,195.01",,,
1,110173504,Harmony Area SD,Clearfield,"$4,365,046.84","$2,897,752.22","$2,796,446.36","$101,305.86",,,,,,,$420.00,,,"$271,168.63",,,,,,"$362,736.99","$19,635.00","$166,547.32","$4,391.64","$80,711.83",,"$11,998.74",,,,"$73,268.00",,,,,,,,"$476,416.47",,,
1,110175003,Moshannon Valley SD,Clearfield,"$11,022,771.63","$7,321,946.46","$7,077,417.11","$244,529.35",,"$26,594.61",,,,,$805.00,,,"$774,861.75",,,,,,"$720,309.53","$9,625.00","$275,789.84","$15,551.91","$326,106.26",,"$30,000.00",,,,"$216,577.00","$9,722.20",,,,"$53,000.00",,,"$1,233,832.07",,,"$8,050.00"
1,110177003,Philipsburg-Osceola Area SD,Clearfield,"$19,665,607.22","$12,554,359.57","$12,010,608.94","$543,750.63",,"$76,102.52",,,,,"$2,065.00",,,"$1,429,964.11",,,,,,"$1,232,869.92","$6,930.00","$486,120.40",,"$781,114.78",,"$135,008.00",,,,"$349,206.00","$35,000.00",,,,,,,"$2,576,866.92",,,
1,110179003,West Branch Area SD,Clearfield,"$12,135,368.38","$7,795,877.87","$7,553,046.62","$242,831.25",,"$15,176.40",,,,,$770.00,,,"$860,859.48",,,,,,"$824,964.70","$6,545.00","$294,351.00","$18,957.90","$282,752.62",,"$30,452.21",,,,"$237,979.00","$16,470.56",,,,,,"$84,322.34","$1,665,889.30",,,
1,110183602,Keystone Central SD,Clinton,"$39,766,313.75","$20,955,607.05","$20,955,607.05",,,"$55,170.85",,,"$293,152.54",,,$400.00,,"$3,485,545.10",,,,,,"$3,168,490.33","$647,179.00","$526,335.75","$69,248.01","$2,157,316.88",,"$274,800.00",,,,"$770,674.00","$14,417.74","$23,652.63",,,,,"$1,135,795.79","$6,188,528.08",,,
1,116191004,Benton Area SD,Columbia,"$6,933,632.54","$3,616,209.69","$3,409,584.76","$206,624.93",,"$5,961.43",,,"$62,661.85",,,,,"$477,595.94",,,,,,"$419,254.31","$8,470.00","$714,435.63",-$0.20,"$350,494.37",,"$64,577.00","$20,000.00",,,"$112,285.00","$28,823.48","$8,484.53",,,$0.28,,,"$1,044,379.23",,,
1,116191103,Berwick Area SD,Columbia,"$25,533,590.92","$15,934,409.91","$15,022,542.30","$911,867.61",,"$13,197.40",,,"$4,683.58",,,$80.00,,"$2,322,012.70",,,,,,"$819,564.96","$21,175.00","$343,915.71","$52,270.57","$1,095,777.53",,"$40,000.00",,,,"$549,482.00","-$7,907.23",,,,$250.00,,,"$4,344,678.79",,,
1,116191203,Bloomsburg Area SD,Columbia,"$10,700,992.30","$6,253,598.57","$6,004,342.71","$249,255.86",,"$16,233.29",,,,,"$1,925.00",,,"$1,016,311.81",,,,,,"$487,902.46","$26,950.00","$373,013.90",,"$489,379.74",,,,,,"$234,078.00","$18,527.31",,,,,,"$107,397.08","$1,675,675.14",,,
1,116191503,Central Columbia SD,Columbia,"$12,593,924.94","$6,957,031.95","$6,682,434.17","$274,597.78",,"$65,119.65",,,"$58,734.94",,,,,"$1,221,354.10",,,,,,"$852,615.90","$61,600.00","$362,310.09","$34,385.23","$354,348.33",,"$29,498.00",,,,"$255,774.00","$12,352.56","$10,491.14",,,$116.68,,"$279,380.19","$2,038,812.18",,,
1,116195004,Millville Area SD,Columbia,"$7,078,984.54","$4,445,726.28","$4,205,781.72","$239,944.56",,,,,,,,,,"$526,027.49",,,,,,"$454,162.84","$15,015.00","$14,658.01","$11,811.79","$283,795.33",,"$47,157.00",,,,"$115,997.00",,,,,,,,"$1,164,633.80",,,
1,116197503,Southern Columbia Area SD,Columbia,"$9,211,814.13","$5,089,216.29","$4,784,907.59","$304,308.70",,"$70,911.40",,,,,,,,"$846,897.89",,,,,,"$739,079.51","$28,105.00","$246,535.85","$24,596.46","$292,262.68",,"$45,862.00",,,,"$197,956.00","$35,000.00",,,,,,"-$6,369.58","$1,601,760.63",,,
1,105201033,Conneaut SD,Crawford,"$20,971,828.74","$11,893,539.16","$11,336,834.78","$556,704.38",,"$46,354.00",,,"$53,987.02",,,,,"$1,785,202.75",,,,,,"$2,307,764.25","$85,855.00","$683,827.46","$40,627.54","$971,702.62",,,,,,"$426,026.00",,,,,,,,"$2,676,942.94",,,
1,105201352,Crawford Central SD,Crawford,"$31,803,272.74","$17,941,389.45","$16,866,320.64","$1,075,068.81",,"$117,297.56",,,,,,,,"$2,871,801.81",,,,,,"$1,634,524.27","$110,495.00","$1,850,591.04","$68,414.92","$1,453,814.19",,"$3,496.50","$30,000.00",,,"$665,681.00","$34,785.00",,,,,,,"$5,020,982.00",,,
1,105204703,Penncrest SD,Crawford,"$31,900,872.35","$20,073,637.36","$19,116,560.62","$957,076.74",,"$170,170.59",,,,,,,,"$2,508,735.24",,,,,,"$2,488,915.48","$52,745.00","$88,976.18","$51,242.65","$1,272,513.83",,,,,,"$619,569.00","$26,764.72",,,,,,,"$4,547,602.30",,,
1,115210503,Big Spring SD,Cumberland,"$19,293,302.67","$10,322,778.48","$9,653,657.22","$669,121.26",,"$28,322.36",,,"$120,294.11",,,,,"$1,983,550.67",,,,,,"$1,605,546.29","$22,330.00","$578,022.44","$48,731.90","$770,684.93",,,,,,"$401,851.00",,"$15,673.51",,,,,,"$3,395,516.98",,,
1,115211003,Camp Hill SD,Cumberland,"$5,039,178.16","$1,960,094.69","$1,626,351.86","$333,742.83",,"$2,789.26",,,,,,,,"$529,720.45",,,,,,"$11,436.60",,"$382,770.91","$28,053.13","$262,654.64",,"$22,369.60",,,,"$99,838.00",,,,,,,,"$1,739,450.88",,,
1,115211103,Carlisle Area SD,Cumberland,"$27,242,394.77","$14,468,968.82","$13,358,685.65","$1,110,283.17",,"$47,837.73",,,"$350,100.14",,,$164.00,,"$3,105,605.39",,,,,,"$1,108,723.67","$37,730.00","$963,981.98","$95,559.06","$1,109,628.60",,,,,,"$589,782.00",,"$38,967.54","$6,350.00",,,,,"$5,318,995.84",,,
1,115211603,Cumberland Valley SD,Cumberland,"$32,347,760.00","$13,684,147.00","$11,692,650.00","$1,991,497.00",,"$125,648.00",,,"$53,127.00",,,$40.00,,"$3,594,723.00",,,,,,"$2,469,327.00","$148,225.00","$725,288.00","$162,366.00","$938,430.00",,"$39,827.00",,,,"$526,437.00",,,,,,,,"$9,880,175.00",,,
1,115212503,East Pennsboro Area SD,Cumberland,"$12,746,701.79","$6,703,750.01","$6,367,955.22","$335,794.79",,"$40,194.54",,,,,,$40.00,,"$1,442,459.61",,,,,,"$629,050.92","$64,295.00","$22,746.00","$51,939.99","$678,346.82",,,,,,"$327,237.00","$17,499.20",,,,,,"$183,913.31","$2,585,229.39",,,
1,115216503,Mechanicsburg Area SD,Cumberland,"$18,655,777.50","$8,148,696.52","$7,095,531.29","$1,053,165.23",,"$62,036.62",,,,,,,,"$1,844,785.83",,,,"$367,708.37",,"$698,104.78","$88,550.00","$947,087.30","$93,296.27","$883,621.69",,,,,,"$338,503.00",,,,,,,,"$5,183,387.12",,,
1,115218003,Shippensburg Area SD,Cumberland,"$20,515,790.35","$10,703,954.57","$9,937,652.56","$766,302.01",,"$23,407.36",,,,,,,,"$2,058,544.22",,,,,,"$1,299,111.87","$36,960.00","$894,774.47","$67,963.70","$922,524.83",,"$45,895.11",,,,"$527,156.00",$400.00,,"$22,500.00",,,,,"$3,912,598.22",,,
1,115218303,South Middleton SD,Cumberland,"$10,870,460.62","$5,051,314.43","$4,565,315.25","$485,999.18",,"$20,877.05",,,"$45,368.50",,,,,"$1,192,886.44",,,,,,"$651,321.86","$28,490.00","$764,680.33","$47,055.32","$539,018.66",,"$16,097.05",,,,"$208,431.00",,,,,,,,"$2,304,919.98",,,
1,115221402,Central Dauphin SD,Dauphin,"$50,492,752.28","$21,765,339.07","$19,100,895.93","$2,664,443.14",,"$257,308.83",,,,,,$520.00,,"$5,925,473.41",,,,,,"$2,814,670.78","$621,775.00","$1,377,474.37","$256,652.61","$2,600,193.59",,"$45,000.00",,,,"$1,023,711.00",,,,,"$2,100.00",,,"$13,802,533.62",,,
1,115221753,Derry Township SD,Dauphin,"$12,126,557.11","$4,021,314.85","$2,983,495.20","$1,037,819.65",$0.09,"$12,644.96",,,,,,,,"$1,488,653.53",,,,,,"$431,440.50","$60,830.00","$241,507.84","$73,069.78","$666,867.21",,,,,"$225,559.00",,"$9,722.20",,,,,,,"$4,894,947.15",,,
1,115222504,Halifax Area SD,Dauphin,"$10,219,556.43","$5,896,929.14","$5,671,997.54","$224,931.60",,"$23,209.16",,,"$1,929.92",,,,,"$837,155.37",,,,"$175,000.00",,"$833,286.63","$10,395.00","$179,469.46","$17,010.55","$432,697.25",,"$37,170.00",,,,"$192,577.00","$40,243.34",,,,,,"$84,037.56","$1,458,446.05",,,
1,115222752,Harrisburg City SD,Dauphin,"$80,877,538.00","$53,792,273.00","$53,792,273.00",,,"$156,449.00",,,,,,$480.00,,"$6,301,565.00",,,,"$148,750.00","$700,047.00","$1,448,212.00","$339,185.00","$313,400.00",,"$2,771,635.00",,,,,,"$1,807,251.00",,,"$261,582.00",,$500.00,,"$1,976,549.00","$10,859,660.00",,,
1,115224003,Lower Dauphin SD,Dauphin,"$22,027,041.07","$10,840,316.29","$9,858,907.62","$981,408.67",,"$25,702.95",,,,,,,,"$2,372,259.47",,,,,,"$1,473,266.15","$63,140.00","$789,177.45","$65,884.86","$1,348,950.48",,"$24,750.00",,,,"$441,906.00",,,,,,,"-$68,071.43","$4,649,758.85",,,
1,115226003,Middletown Area SD,Dauphin,"$16,593,485.74","$8,952,933.89","$8,293,253.74","$659,680.15",,"$1,945.84",,,,,,,,"$1,766,519.82",,,,,,"$471,942.37","$43,120.00","$575,209.51","$48,791.12","$923,619.70",,"$1,500.00",,,,"$363,944.00",,,,,"$18,561.77",,,"$3,425,397.72",,,
1,115226103,Millersburg Area SD,Dauphin,"$6,952,461.26","$4,327,800.67","$4,079,827.45","$247,973.22",,"$90,150.34",,,,,,,,"$630,699.94",,,,,,"$166,225.12","$21,560.00","$174,788.84","$16,686.56","$251,002.18",,,,,,"$127,733.00",,,,,,,,"$1,145,814.61",,,
1,115228003,Steelton-Highspire SD,Dauphin,"$14,350,024.88","$8,621,231.63","$8,730,458.39","-$109,226.76",,"$8,927.81","$1,000,000.00",,,,,,,"$1,174,161.44",,,,,,"$295,831.00","$32,533.00","$43,056.00","$23,918.00","$395,600.00",,,,,,"$352,679.00","$22,647.00",,,,,,"$421,850.00","$1,957,590.00",,,
1,115228303,Susquehanna Township SD,Dauphin,"$11,523,578.33","$4,864,271.46","$4,191,328.22","$672,943.24",,"$147,169.30",,,,,,,,"$1,521,661.33",,,,,,"$642,311.66","$169,015.00","$64,867.74","$62,982.50","$455,575.57",,,"$87,146.78",,,"$261,665.00",,,,,,,,"$3,246,911.99",,,
1,115229003,Upper Dauphin Area SD,Dauphin,"$10,728,685.37","$6,209,328.90","$5,992,559.78","$216,769.12",,,,,"$115,737.61",,,,,"$858,564.78",,,,"$123,999.26",,"$818,549.28","$10,780.00","$165,304.16","$21,026.22","$418,625.70",,"$39,227.48",,,,"$202,061.00",,,"$9,356.00",,,,"$95,932.16","$1,640,192.82",,,
1,125231232,Chester-Upland SD,Delaware,"$103,627,336.80","$81,919,398.12","$80,852,958.12","$1,066,440.00",,"$304,374.62","$375,000.00",,"$236,538.99",,,,,"$6,355,196.98",,,,"$1,050,000.00",,"$1,301,953.70","$916,685.00","$53,647.00","$35,362.00","$2,753,055.79",,"$453,857.00","$11,690.20",,,"$1,421,091.00","$12,352.92","$17,519.48",,,,,,"$6,409,614.00",,,
1,125231303,Chichester SD,Delaware,"$25,469,000.03","$12,110,295.90","$10,878,316.95","$1,231,978.95",,"$122,324.55",,,,,,,,"$2,612,136.41",,,,,,"$52,306.11","$177,870.00","$1,728,776.90","$57,391.87","$1,797,772.26",,"$10,746.04",,,,"$541,395.00","$28,309.02",,,,,,"-$27,022.15","$6,256,698.12",,,
1,125234103,Garnet Valley SD,Delaware,"$20,505,446.00","$6,164,209.00","$4,418,095.00","$1,746,114.00",,"$21,963.00",,,,,,,,"$1,943,932.00",,,,,,"$654,362.00","$101,640.00","$927,028.00","$92,527.00","$1,467,473.00",,"$44,358.00",,,,"$327,809.00","$35,000.00",,,,,,,"$8,725,145.00",,,
1,125234502,Haverford Township SD,Delaware,"$22,138,615.39","$5,599,578.18","$3,631,995.66","$1,967,582.52",,"$13,208.91",,,,,,,,"$2,684,330.88",,,,,,"$810,400.66","$523,646.00","$123,115.31","$134,920.46","$2,103,839.31",,"$167,271.00",,,,"$192,476.00","$27,585.00",,,,,,,"$9,758,243.68",,,
1,125235103,Interboro SD,Delaware,"$23,543,907.47","$10,585,932.51","$9,247,691.63","$1,338,240.88",,"$3,866.77",,,,,,,,"$2,321,113.28",,,,"$446,250.00",,"$508,605.68","$38,500.00","$532,978.39","$61,375.85","$2,021,166.61",,"$14,160.30",,,,"$554,903.00","$33,150.81",,"$107,282.29",,,,"$63,319.92","$6,251,302.06",,,
1,125235502,Marple Newtown SD,Delaware,"$15,469,274.80","$4,181,341.95","$2,834,694.51","$1,346,647.44",,"$17,342.39",,,,,,,,"$1,766,688.04",,,,,,"$693,282.40","$724,570.00","$399,109.94","$130,596.95","$1,229,722.67",,,,,,"$115,566.00","$26,976.70",,,,,,,"$6,184,077.76",,,
1,125236903,Penn-Delco SD,Delaware,"$17,465,316.00","$7,389,778.00","$6,474,536.00","$915,242.00",,,,,,,,,,"$2,069,198.00",,,,,,"$421,541.00","$114,345.00","$986,314.00","$67,542.00","$1,376,409.00",,"$25,000.00","$11,427.00",,,"$354,943.00",,,,,,,,"$4,648,819.00",,,
1,125237603,Radnor Township SD,Delaware,"$15,158,245.45","$2,274,907.69","$2,274,907.69",,,"$92,914.66",,,,,,,,"$1,295,134.81",,,,,,"$392,730.80","$346,115.00","$111,532.06","$119,407.26","$1,453,101.80",,,"$12,000.00",,,"$113,925.00","$9,722.20",,,,"$6,624.00",,"$1,497,798.00","$7,432,332.17",,,
1,125237702,Ridley SD,Delaware,"$32,660,140.06","$14,470,472.13","$12,386,266.49","$2,084,205.64",,,,,,,,,,"$3,650,785.68",,,,,,"$789,777.80","$70,070.00","$450,091.71","$113,363.99","$2,068,232.21",,"$15,520.00",,,,"$789,095.00","$35,000.00",,,,,,,"$10,207,731.54",,,
1,125237903,Rose Tree Media SD,Delaware,"$16,995,848.30","$4,056,880.56","$3,102,196.39","$954,684.17",,$712.37,,,,,,,,"$1,956,025.29",,,,,,"$731,250.25","$301,070.00","$55,139.56","$86,838.80","$1,633,098.50",,,,,,"$140,258.00",,,,,,,"$648,116.12","$7,386,458.85",,,
1,125238402,Southeast Delco SD,Delaware,"$37,137,140.00","$19,028,875.81","$17,441,928.81","$1,586,947.00",,"$390,373.00",,,,,,,,"$3,080,661.06",,,,,,"$1,022,976.00","$462,385.00","$1,561,362.00","$78,387.13","$2,168,675.00",,"$168,800.00",,,,"$888,165.00","$28,823.00",,,,,,"$87,382.00","$8,170,275.00",,,
1,125238502,Springfield SD,Delaware,"$14,163,027.81","$4,245,026.21","$3,175,017.33","$1,070,008.88",,"$25,257.32",,,,,,,,"$1,814,412.74",,,,,,"$535,164.49","$136,290.00","$345,998.55","$86,841.63","$1,219,158.68",,"$87,826.52",,,,"$239,989.00","$29,843.60",,,,,,,"$5,397,219.07",,,
1,125239452,Upper Darby SD,Delaware,"$88,926,838.85","$40,035,982.36","$40,035,982.36",,,"$433,717.80",,,,,,,,"$8,888,216.51",,,,,,"$2,325,229.00","$370,755.00","$1,405,871.73","$273,968.73","$5,141,347.19",,"$1,165,818.45",,,,"$2,073,956.00",,,"$491,175.90",,"$2,627,619.76",,"$3,859,511.34","$19,833,669.08",,,
1,125239603,Wallingford-Swarthmore SD,Delaware,"$16,557,486.56","$4,863,084.37","$3,668,713.76","$1,194,370.61",,"$38,304.57",,,,,,,,"$2,130,493.56",,,,,,"$570,128.97","$68,915.00","$593,429.48","$73,261.05","$1,838,019.64",,"$40,000.00",,,,"$252,951.00","$35,000.00",,,,,,,"$6,053,898.92",,,
1,125239652,William Penn SD,Delaware,"$47,966,834.00","$25,515,976.00","$23,796,049.00","$1,719,927.00",,"$970,040.00",,,,,,,,"$5,028,315.00",,,,,,"$1,492,984.00","$713,405.00","$742,001.00","$102,899.00","$3,404,130.00",,,,,,"$1,129,826.00","$28,823.00",,,,"$500,000.00",,,"$8,338,435.00",,,
1,109243503,Johnsonburg Area SD,Elk,"$7,811,241.32","$5,376,841.94","$5,169,827.48","$207,014.46",,,,,"$40,582.86",,,,,"$516,143.06",,,,"$152,500.00",,"$246,480.15","$10,010.00",,"$10,443.91","$283,819.33",,,"$24,222.00",,,"$133,613.00","$20,588.20",,,,,,,"$995,996.87",,,
1,109246003,Ridgway Area SD,Elk,"$8,331,791.56","$5,439,857.96","$5,194,797.06","$245,060.90",,,,,,,,,,"$661,518.36",,,,,,"$317,689.55","$47,740.00",,"$33,988.67","$352,363.88",,,,,,"$159,261.00",,,,,,,"$1,224.73","$1,318,147.41",,,
1,109248003,Saint Marys Area SD,Elk,"$12,548,924.99","$7,196,439.92","$6,746,726.67","$449,713.25",,,,,"$58,799.59",,,,,"$1,346,866.01",,,,,,"$858,636.49","$173,635.00",,"$46,628.88","$348,321.17",,"$32,000.00",,,,"$306,366.00","$35,000.00","$9,423.93",,,"$6,411.92",,,"$2,130,396.08",,,
1,105251453,Corry Area SD,Erie,"$22,751,179.06","$14,125,965.83","$13,359,158.96","$766,806.87",,"$30,234.35",,,"$167,232.38",,"$1,575.00",,,"$1,662,431.94",,,,"$350,000.00",,"$1,087,857.50","$51,205.00","$607,130.76","$36,943.88","$526,706.53",,"$35,000.00",,,,"$470,665.00",,"$16,682.21",,,,,,"$3,581,548.68",,,
1,105252602,Erie City SD,Erie,"$133,132,455.00","$81,822,619.00","$81,822,619.00",,,"$37,364.00",,,"$1,073,634.00",,,$520.00,,"$11,322,932.62","$2,657,095.00",,,"$1,862,189.00",,"$1,704,262.00","$837,375.00","$1,249,143.00","$249,826.00","$5,926,637.00",,,,,,"$2,602,655.00","$535,000.00",,,,"$13,329.38",,"$3,449,821.00","$17,788,053.00",,,
1,105253303,Fairview SD,Erie,"$7,734,425.00","$3,677,978.00","$3,297,928.00","$380,050.00",,"$20,540.00",,,,,,,,"$964,313.00",,,,,,"$432,468.00","$50,050.00","$251,519.00","$24,405.00","$264,669.00",,,,,,"$143,386.00",,,,,$388.00,,,"$1,904,709.00",,,
1,105253553,Fort LeBoeuf SD,Erie,"$14,489,969.88","$7,687,971.51","$7,130,692.06","$557,279.45",,"$29,904.19",,,,,,,,"$1,240,003.55",,,,,,"$672,905.48","$82,775.00","$1,094,057.29","$41,093.91","$712,763.04",,"$40,000.00","$20,000.00",,,"$281,428.00","$7,777.76",,,,"$6,096.95",,,"$2,573,193.20",,,
1,105253903,General McLane SD,Erie,"$17,908,960.80","$11,395,615.26","$10,730,652.57","$664,962.69",,"$57,981.94",,,,,,,,"$1,529,951.75",,,,,,"$883,296.16","$19,250.00",,"$39,469.68","$518,707.51",,,"$39,999.68",,,"$329,440.00",,,,,,,,"$3,095,248.82",,,
1,105254053,Girard SD,Erie,"$16,158,954.48","$9,684,203.47","$9,094,494.94","$589,708.53",,"$76,482.93",,,,,,,,"$1,243,639.64",,,,,,"$404,316.12","$4,235.00","$792,006.21","$29,077.05","$735,185.14",,"$10,589.38",,,,"$371,348.00","$1,569.14",,,,,,,"$2,806,302.40",,,
1,105254353,Harbor Creek SD,Erie,"$16,509,573.12","$9,620,139.90","$9,031,424.67","$588,715.23",,"$51,260.80",,,,,,,,"$1,375,586.90",,,,,,"$944,944.73","$48,125.00","$889,612.25","$75,402.34","$458,236.22",,"$40,000.00",,,,"$283,075.00","$2,017.24",,,,,,,"$2,721,172.74",,,
1,105256553,Iroquois SD,Erie,"$13,650,334.48","$8,745,296.34","$8,745,296.34",,,"$16,394.83",,,,,,,,"$892,886.21",,,,,,"$284,213.78","$31,955.00","$393,720.62",,"$622,879.94",,,,,,"$244,066.00","$9,722.20",,,,,,"$414,976.21","$1,994,223.35",,,
1,105257602,Millcreek Township SD,Erie,"$31,427,776.25","$16,433,803.17","$14,897,026.67","$1,536,776.50",,"$80,929.48",,,,,,,,"$3,746,977.19",,,,,,"$1,574,505.17","$319,935.00","$80,785.60","$152,293.62","$936,949.07",,"$83,095.00",,,,"$753,736.00",,,,,"$14,167.91",,,"$7,250,599.04",,,
1,105258303,North East SD,Erie,"$14,770,400.75","$8,875,711.99","$8,875,711.99",,,,,,,,"$2,800.00",,,"$1,218,319.46",,,,,,"$453,987.31","$23,870.00","$398,266.70","$32,170.92","$558,163.87",,,,,,"$286,805.00","$35,000.00",,,,,,"$467,560.09","$2,417,745.41",,,
1,105258503,Northwestern SD,Erie,"$14,667,486.71","$9,631,747.63","$9,264,906.78","$366,840.85",,"$73,414.39",,,"$75,320.51",,,,,"$1,233,233.15",,,,,,"$927,734.59","$3,850.00",,"$23,624.11","$393,830.13",,,,,,"$330,199.00","$35,000.00","$8,036.25",,,,,,"$1,931,496.95",,,
1,105259103,Union City Area SD,Erie,"$14,789,394.78","$9,931,439.99","$9,568,823.68","$362,616.31",,"$19,345.21",,,"$85,790.12",,"$1,610.00",,,"$942,049.31",,,,,,"$800,262.46","$5,775.00","$410,338.54","$19,766.69","$334,305.02",,"$62,298.60",,,,"$283,155.00","$35,000.00","$9,017.64",,,,,,"$1,849,241.20",,,
